account_value,date,daily_return
1000000.0,2024-12-23,
1000289.8246594238,2024-12-24,0.00028982465942384295
1000412.9969052124,2024-12-26,0.00012313655777762555
998937.091793518,2024-12-27,-0.001475295819086786
996090.5672329712,2024-12-30,-0.0028495533742131096
995478.318545227,2024-12-31,-0.000614651626954843
991780.8955136109,2025-01-02,-0.0037142175401866373
995179.0737683105,2025-01-03,0.003426339698688885
997591.3019314575,2025-01-06,0.0024239136721524446
996486.0386090088,2025-01-07,-0.0011079319961078138
996042.5159178162,2025-01-08,-0.00044508670870258005
973127.8255796814,2025-01-10,-0.023005735168864505
976867.1878233338,2025-01-13,0.003842621848188177
983322.9080686951,2025-01-14,0.006608595647219939
1017867.1704588318,2025-01-15,0.035130130811234395
1020716.4770689392,2025-01-16,0.0027992911971244094
1038568.5688658142,2025-01-17,0.017489765471542684
1047594.5621519471,2025-01-21,0.008690801509610324
1046066.1526976014,2025-01-22,-0.0014589703971029655
1057158.9868345642,2025-01-23,0.010604333299912838
1051540.6349668885,2025-01-24,-0.005314576083299216
1053901.3925352478,2025-01-27,0.002245046448855259
1066598.2135801697,2025-01-28,0.012047446881513935
1063334.0658140564,2025-01-29,-0.003060334927016961
1074785.539446869,2025-01-30,0.010769403521409426
1066271.249011078,2025-01-31,-0.007921850567670252
1053364.5672789002,2025-02-03,-0.012104501311601679
1059510.431811371,2025-02-04,0.0058345085105215855
1074918.226946869,2025-02-05,0.014542372281466376
1094095.4156980896,2025-02-06,0.017840602448141896
1084756.8932981873,2025-02-07,-0.008535382075377629
1075357.7928953553,2025-02-10,-0.00866470677522424
1079966.8216123963,2025-02-11,0.004286042048043726
1089225.0632505799,2025-02-12,0.008572709321163163
1092662.3446836853,2025-02-13,0.003155712762289431
1103474.9172850037,2025-02-14,0.009895621144012656
1116282.465655365,2025-02-18,0.011606560484286321
1113587.0193663025,2025-02-19,-0.0024146632881848484
1077644.8052549744,2025-02-20,-0.03227607136780508
1058914.151568451,2025-02-21,-0.017381101449370107
1059727.3855162049,2025-02-24,0.0007679885536984177
1045714.6658811951,2025-02-25,-0.01322294754908504
1040656.763903656,2025-02-26,-0.004836789750172321
1031638.2770262146,2025-02-27,-0.008666149291733594
1054612.950396576,2025-02-28,0.022270086213345808
1030989.0426206971,2025-03-03,-0.022400547771573853
991721.8286924744,2025-03-04,-0.03808693623785597
1005589.6876402283,2025-03-05,0.013983617730828568
976624.0077696228,2025-03-06,-0.028804670758485917
965482.5012998963,2025-03-07,-0.011408184092434048
920722.007037201,2025-03-10,-0.04636075144027074
917443.8189878846,2025-03-11,-0.0035604536703378598
920584.3128538514,2025-03-12,0.0034230912029373783
904581.4761534119,2025-03-13,-0.017383347160055296
929391.0584288025,2025-03-14,0.027426586691659205
939126.7586851502,2025-03-17,0.010475353908403706
939355.8706236267,2025-03-18,0.00024396274129956375
958039.8084898377,2025-03-19,0.019890159257542006
961558.4656858826,2025-03-20,0.003672767211616579
973012.7222776795,2025-03-21,0.011912179030763914
995009.0478086853,2025-03-24,0.022606411023604833
1006037.1544371033,2025-03-25,0.011083423465048092
991727.011157074,2025-03-26,-0.014224269170293291
979014.7583494568,2025-03-27,-0.012818298447660026
952731.4829893494,2025-03-28,-0.02684665898644778
958469.3993406678,2025-03-31,0.006022595509612705
957516.2280149842,2025-04-01,-0.0009944723601392758
972059.3944273377,2025-04-02,0.01518842812983201
886190.0606260682,2025-04-03,-0.08833753811088585
816113.7337828064,2025-04-04,-0.07907595667881306
812858.6962767029,2025-04-07,-0.0039884606414059
806703.1235227967,2025-04-08,-0.007572746385198115
902116.0041075135,2025-04-09,0.11827508509953177
901213.9636283874,2025-04-10,-0.0009999162801889172
902864.5899615174,2025-04-11,0.0018315587637860453
904206.7059283142,2025-04-14,0.001486508588020019
904024.3490099793,2025-04-15,-0.0002016761401341105
898332.2022112733,2025-04-16,-0.006296452971581656
906117.0117983704,2025-04-17,0.008665847186524855
897616.8806155091,2025-04-21,-0.00938083169412196
917886.6574892885,2025-04-22,0.02258176880528362
937381.0985400088,2025-04-23,0.021238396801674497
958737.0648516542,2025-04-24,0.022782586874119604
959301.4040129854,2025-04-25,0.0005886276665632018
964202.51421196,2025-04-28,0.005109040994281999
968120.7704222872,2025-04-29,0.004063727435444031
968911.2737334444,2025-04-30,0.0008165337789545202
976475.92336113,2025-05-01,0.00780737084267491
987156.5340178682,2025-05-02,0.010937915007647625
977408.9318450167,2025-05-05,-0.009874424001609428
965401.5500090792,2025-05-06,-0.01228491109987262
965583.0815795137,2025-05-07,0.00018803737204775572
986089.9225676729,2025-05-08,0.021237779927351097
990075.1511901094,2025-05-09,0.004041445441465896
1028834.4848693087,2025-05-12,0.039147870373889226
1047073.7689727022,2025-05-13,0.017728103374869297
1056311.3977111056,2025-05-14,0.008822328485476705
1061914.0027373508,2025-05-15,0.0053039331378845755
1064123.100744553,2025-05-16,0.0020802984059986596
1053843.1083129123,2025-05-19,-0.009660529335795642
1049990.2225859836,2025-05-20,-0.0036560335182119763
1028069.5978606417,2025-05-21,-0.02087697985544512
1031303.9658263399,2025-05-22,0.003146059345037422
1026025.1661894991,2025-05-23,-0.005118568154260039
1047181.6312316133,2025-05-27,0.0206198305258789
1040075.8723509981,2025-05-28,-0.0067856030593832495
1042423.8187621309,2025-05-29,0.0022574760876103994
1040996.7401488497,2025-05-30,-0.0013690003888974234
1043856.019781418,2025-06-02,0.002746674914812397
1052204.2986815646,2025-06-03,0.007997538685358796
1045149.5676787569,2025-06-04,-0.006704716005862643
1044879.0766204073,2025-06-05,-0.00025880607590966775
1058827.3898223117,2025-06-06,0.013349212855347181
1062317.5304778293,2025-06-09,0.0032962319345586355
1064682.047781296,2025-06-10,0.0022258103021262077
1067746.5190184787,2025-06-11,0.002878297087443915
1061346.6062987521,2025-06-12,-0.005993850231054476
1044128.9298461153,2025-06-13,-0.01622248222254208
1063324.1541350558,2025-06-16,0.018383959815929662
1056660.0704558566,2025-06-17,-0.006267217436267125
1068171.0581420138,2025-06-18,0.010893747202154858
1077992.3293822482,2025-06-20,0.009194474204644365
1088176.623815842,2025-06-23,0.009447464658148386
1102279.7362425998,2025-06-24,0.01296031555732502
1110659.177191086,2025-06-25,0.0076019187080855755
1131448.3390105441,2025-06-26,0.018717858949344635
1142036.158315964,2025-06-27,0.009357757610638284
1158127.786932297,2025-06-30,0.014090296965782123
1159753.2064116672,2025-07-01,0.001403488887591342
1174312.6781066135,2025-07-02,0.012553939592022445
1189240.8585112765,2025-07-03,0.012712270490626398
1174265.08011467,2025-07-07,-0.012592721053457212
1154888.7282317355,2025-07-08,-0.016500832913333707
1161488.8610289767,2025-07-09,0.0057149512640466416
1176961.6417906955,2025-07-10,0.013321505940238731
1171895.2496398166,2025-07-11,-0.004304636592209254
1181195.166708298,2025-07-14,0.007935792103722417
1170311.92966301,2025-07-15,-0.009213750066059845
1175724.2844298556,2025-07-16,0.004624711266853598
1177440.7544921115,2025-07-17,0.0014599256687874984
1180329.8700621799,2025-07-18,0.0024537247917111316
1179186.4166014865,2025-07-21,-0.0009687575394775605
1175786.3693144992,2025-07-22,-0.0028833840342110673
1198513.0260985568,2025-07-23,0.019328899685499445
1197482.4834197238,2025-07-24,-0.000859851045747595
1208895.9244750217,2025-07-25,0.009531196667448283
1206753.1932433322,2025-07-28,-0.0017724695635978893
1202824.6113494113,2025-07-29,-0.003255497409012209
1202096.06348259,2025-07-30,-0.0006056975056437652
1189051.6793883517,2025-07-31,-0.01085136578556578
1167354.0847228244,2025-08-01,-0.018247814659063888
1186442.5327819064,2025-08-04,0.0163518921198742
1181195.3627837375,2025-08-05,-0.004422607798681755
1192651.9202178195,2025-08-06,0.009699121580601489
1191702.7923796847,2025-08-07,-0.0007958129459612051
1203212.3934691623,2025-08-08,0.009658113720195427
1198352.5721038058,2025-08-11,-0.004039038653304017
1228285.3181670383,2025-08-12,0.024978246602903376
1230850.8920043185,2025-08-13,0.0020887442024535297
1235509.307409592,2025-08-14,0.0037847114021161143
1219138.9632781222,2025-08-15,-0.013249875199881966
1217571.092779465,2025-08-18,-0.001286047403850854
1203043.9885009006,2025-08-19,-0.011931216472462425
