account_rewards,date
1.1856803999328436,2023-05-16
0.9434553915869619,2023-05-17
0.43017670557502025,2023-05-18
0.26563529576834943,2023-05-19
-0.058398006148373205,2023-05-22
-0.22263459508388053,2023-05-23
0.08830064670535119,2023-05-24
0.36873405340608373,2023-05-25
0.24039379257423837,2023-05-26
0.051719198653218,2023-05-30
0.11914326223015848,2023-05-31
0.44974034101813154,2023-06-01
0.05483986788416119,2023-06-02
0.22344920377482144,2023-06-05
0.4174938881579552,2023-06-06
0.38001316015883463,2023-06-07
0.2991758380618605,2023-06-08
0.43846368383305434,2023-06-09
0.37789239871581215,2023-06-12
0.206363646284147,2023-06-13
0.4032234980597585,2023-06-14
0.28400531079349844,2023-06-15
0.037886682459435835,2023-06-16
0.08526578859342196,2023-06-20
-0.04673171099210746,2023-06-21
-0.006276402844247993,2023-06-22
0.021483029441855674,2023-06-23
0.1579176983861395,2023-06-26
0.0991911028354353,2023-06-27
0.355118199480505,2023-06-28
0.2279547709281843,2023-06-29
0.22375639624203789,2023-06-30
0.06981309913398347,2023-07-03
0.005670187403387129,2023-07-05
0.14713507491553196,2023-07-06
0.14353748990500917,2023-07-07
0.2928462809103758,2023-07-10
0.24531148472648864,2023-07-11
0.2226818094081401,2023-07-12
0.12188142830855583,2023-07-13
0.28116846277245805,2023-07-14
0.3158161489756107,2023-07-17
0.24323144041204692,2023-07-18
0.4138553798676896,2023-07-19
0.1954183529720692,2023-07-20
0.42956466967684903,2023-07-21
0.16824968530168224,2023-07-24
0.4924458500793276,2023-07-25
0.1916024669992727,2023-07-26
0.3330959035352609,2023-07-27
0.32259865110073443,2023-07-28
0.2579282640613212,2023-07-31
0.04163353488063109,2023-08-01
0.24924354867766896,2023-08-02
0.11964863527663108,2023-08-03
0.2859656988813421,2023-08-04
0.1140136617346222,2023-08-07
0.06513403230362556,2023-08-08
0.14205547278878197,2023-08-09
0.16266521124980204,2023-08-10
0.16292275896613312,2023-08-11
-0.05659487583503212,2023-08-14
0.04120039173816554,2023-08-15
-0.02504694174533778,2023-08-16
0.09637495226819974,2023-08-17
0.08858463990576722,2023-08-18
0.0319534552828761,2023-08-21
0.17378983898430764,2023-08-22
-0.11300818018701177,2023-08-23
0.1546733788333465,2023-08-24
