account_value,date,daily_return
1000000.0,2025-04-01,
1001297.6355476074,2025-04-02,0.001297635547607534
981148.8885780028,2025-04-03,-0.020122635122957533
964946.2324500731,2025-04-04,-0.016513962678398886
963930.0034461669,2025-04-07,-0.0010531457295045454
962146.4554114989,2025-04-08,-0.0018502879133251993
996502.0890754393,2025-04-09,0.03570728081022434
996183.4488499754,2025-04-10,-0.000319758712959195
998347.0140721432,2025-04-11,0.0021718542148694286
999828.9263035886,2025-04-14,0.0014843658673358018
999353.1230961911,2025-04-15,-0.0004758846187382648
993483.6461598508,2025-04-16,-0.0058732762230787605
1001720.2457249752,2025-04-17,0.00829062420600657
992902.5635167233,2025-04-21,-0.008802539677003618
1013704.6328694455,2025-04-22,0.02095076608428137
1034058.8263615719,2025-04-23,0.020079017923111175
1055843.012462341,2025-04-24,0.021066679714362824
1056630.9996449582,2025-04-25,0.0007463109319438832
1062396.0115825192,2025-04-28,0.005456031423929586
1066611.2535869137,2025-04-29,0.00396767491447525
1067658.5115825192,2025-04-30,0.0009818553780336359
1075759.5145427242,2025-05-01,0.007587634877932459
1086994.9129497067,2025-05-02,0.010444154344066758
1076283.575822021,2025-05-05,-0.00985408211214056
1063360.2796184078,2025-05-06,-0.01200733384205277
1063390.5944072262,2025-05-07,2.8508483342237767e-05
1086065.3830729977,2025-05-08,0.021323104403054627
1090734.6189128414,2025-05-09,0.004299221679114895
1133321.9806682125,2025-05-12,0.03904465945879565
1153494.7754680172,2025-05-13,0.017799703124006028
1163483.4342204586,2025-05-14,0.008659474637315645
1169586.6092692867,2025-05-15,0.005245605454552438
1171904.253922607,2025-05-16,0.0019815930132514037
1160707.631608154,2025-05-19,-0.009554212536540985
1156707.959366943,2025-05-20,-0.0034458912238470862
1132507.9688273922,2025-05-21,-0.020921435132853494
1135968.3307658688,2025-05-22,0.003055485730541374
1129862.390214111,2025-05-23,-0.005375097514946692
1152648.4339152828,2025-05-27,0.020167096363703063
1145101.589432861,2025-05-28,-0.006547394904087955
1148282.0041667477,2025-05-29,0.0027774083655423
1146713.0448161617,2025-05-30,-0.0013663536874153337
1150252.843705322,2025-06-02,0.0030869090616543193
1159485.3382121578,2025-06-03,0.00802649135567024
1151761.268387939,2025-06-04,-0.006661636477550248
1151075.7212077633,2025-06-05,-0.0005952163864090254
1166366.648026611,2025-06-06,0.013284032090263853
1170667.849198486,2025-06-09,0.0036876921842305954
1173062.0850383297,2025-06-10,0.002045188002286924
1175970.5078898922,2025-06-11,0.0024793426440574695
1168050.590592529,2025-06-12,-0.006734792449493043
1149098.8419353024,2025-06-13,-0.016225109434354845
1169890.2967082516,2025-06-16,0.018093704400512944
1162445.4288493649,2025-06-17,-0.006363731607856304
1174529.4919597164,2025-06-18,0.01039538098774484
1185411.8436442867,2025-06-20,0.009265286022246189
1196598.79219165,2025-06-23,0.009437183040934993
1211601.8704997555,2025-06-24,0.012538102500192494
1220418.3591472164,2025-06-25,0.007276720894978883
1243035.3467570797,2025-06-26,0.01853215943561115
1255680.040665771,2025-06-27,0.010172433102308531
1272620.6583415524,2025-06-30,0.013491189735562958
1274528.7821208492,2025-07-01,0.0014993657118402837
1290625.0473796383,2025-07-02,0.012629189300852328
1307048.8959514156,2025-07-03,0.012725499636879523
1291109.2642985836,2025-07-07,-0.012195130344553329
1270416.3373576656,2025-07-08,-0.016027246890029656
1278401.9657145992,2025-07-09,0.006285835691898445
1294965.9528361813,2025-07-10,0.012956791029590686
1289553.9298259274,2025-07-11,-0.004179278226119187
1299762.9184733883,2025-07-14,0.007916682204085035
1288076.9315349117,2025-07-15,-0.008990860388756183
1293945.5731975094,2025-07-16,0.004556126671412697
1295840.5219279781,2025-07-17,0.0014644732898509982
1298814.0073405758,2025-07-18,0.0022946383928275083
1297657.690201904,2025-07-21,-0.0008902869326452567
1294015.2960979,2025-07-22,-0.002806899023915288
1318899.9088298336,2025-07-23,0.01923053986067491
1317503.162919189,2025-07-24,-0.001059023434070716
1329925.738297607,2025-07-25,0.009428877082080955
1327987.2202312008,2025-07-28,-0.001457613767884225
1322559.617997314,2025-07-29,-0.004087089206281536
1321597.7921306149,2025-07-30,-0.0007272457540746791
1307138.4174357906,2025-07-31,-0.010940828428226634
1283657.000809814,2025-08-01,-0.017963986302261703
1304188.94844165,2025-08-04,0.015994886187574275
1298832.406998779,2025-08-05,-0.004107182053084801
1311709.6942912594,2025-08-06,0.009914510311793023
1311352.676163818,2025-08-07,-0.0002721776998334535
1324375.4065715328,2025-08-08,0.009930761300469548
1318713.36250415,2025-08-11,-0.004275256123971949
1351641.2790690914,2025-08-12,0.024969729966498155
1354705.0724040524,2025-08-13,0.0022667207508422216
1359610.389481689,2025-08-14,0.003620948335959051
1342230.6305705563,2025-08-15,-0.012782896516227993
1340198.0954753414,2025-08-18,-0.0015142964621146504
1323818.3795939938,2025-08-19,-0.012221861780469134
