account_rewards,date
0.8740895846534227,2025-04-01
-0.907064276546049,2025-04-02
-1.0156563485458983,2025-04-03
-0.7607938321654439,2025-04-04
-0.7170834653214726,2025-04-07
0.33368658044758315,2025-04-08
-0.02757951940348981,2025-04-09
0.016269059416830906,2025-04-10
0.02086818704618868,2025-04-11
-0.002437731113060444,2025-04-14
-0.09613920824592292,2025-04-15
0.10031273971853663,2025-04-16
-0.12430636557772572,2025-04-17
0.2878525021987855,2025-04-21
0.3666974997992517,2025-04-22
0.45205757577866035,2025-04-23
0.24467038389277193,2025-04-24
0.3064337703401982,2025-04-25
0.30004982882683584,2025-04-28
0.26726492534472757,2025-04-29
0.35368396531758745,2025-04-30
0.40987789388533064,2025-05-01
0.1611363204236263,2025-05-02
0.08883953878522352,2025-05-05
0.20501190959852839,2025-05-06
0.46801651015203327,2025-05-07
0.30530854643670646,2025-05-08
0.7111423496868754,2025-05-09
0.5287074444337777,2025-05-12
0.450199307028745,2025-05-13
0.4217129426814793,2025-05-14
0.3875905877132755,2025-05-15
0.241684045822597,2025-05-16
0.2895122771498527,2025-05-19
0.054814360894787535,2025-05-20
0.29698612082987635,2025-05-21
0.19741788340927074,2025-05-22
0.48188756280669254,2025-05-23
0.19753353554145792,2025-05-27
0.2925579768683706,2025-05-28
0.2451928659820436,2025-05-29
0.2921255891771812,2025-05-30
0.35194837973253024,2025-06-02
0.18905756179639782,2025-06-03
0.24574033252362643,2025-06-04
0.4019137877562441,2025-06-05
0.3091302642227897,2025-06-06
0.2932061781261618,2025-06-09
0.2987650696307702,2025-06-10
0.19176807886219643,2025-06-11
0.06374078835976935,2025-06-12
0.4284602858220535,2025-06-13
0.17104555146426953,2025-06-16
0.3507188676187934,2025-06-17
0.3498023320636972,2025-06-18
0.36185070154960614,2025-06-20
0.4063752438455366,2025-06-23
0.3609736463042374,2025-06-24
0.49171727255824027,2025-06-25
0.4179968077401519,2025-06-26
0.46401266416605536,2025-06-27
0.3433577485944486,2025-06-30
0.4662311491208715,2025-07-01
0.47852153836908595,2025-07-02
0.20777139701595213,2025-07-03
0.14210296055277225,2025-07-07
0.37023841218158526,2025-07-08
0.448196348185224,2025-07-09
0.2690062101155727,2025-07-10
0.39639903607047955,2025-07-11
0.2129028975304363,2025-07-14
0.3513507068377477,2025-07-15
0.31997983415644904,2025-07-16
0.32878175621319405,2025-07-17
0.29377086299926425,2025-07-18
0.26917031172763595,2025-07-21
0.5042463872146902,2025-07-22
0.2980685390686206,2025-07-23
0.4102178377071264,2025-07-24
0.297655321071268,2025-07-25
0.26461298943658873,2025-07-28
0.2954831290698038,2025-07-29
0.17798096892604448,2025-07-30
0.0829330765248986,2025-07-31
0.4345691864556869,2025-08-01
0.2274839483792225,2025-08-04
0.37508411087436416,2025-08-05
0.2713299106605032,2025-08-06
0.3806011944627424,2025-08-07
0.2324488529044992,2025-08-08
0.5405227570792382,2025-08-11
0.31399337628461443,2025-08-12
0.3292450837641525,2025-08-13
0.1495816717298407,2025-08-14
0.2593191969925017,2025-08-15
0.1378268374460927,2025-08-18
